subj_id,age,gender,ethnicity,born_ch,born_ch_text,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,language_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
ch_adults_066_cellphones,48,Female,Han,Yes,NA,shanghainese,urban,junior college,yes,the average level,about the same,strongly agree,buddhism,Han,shanghainese,urban,other college degree,middle,middle,2,buddhist
ch_adults_067_chickens,36,Female,Han,Other,"Anhui, Tongcheng",tongcheng,rural,undergraduate course,yes,average,a little richer,neither agree nor disagree,none,Han,tongcheng,rural,some college,middle,middle,0,none
ch_adults_068_children,36,Male,Han,Yes,NA,chongqing,rural,junior high school,yes,"not bad, the average level",much poorer,agree,buddhism,Han,chongqing,rural,less than high school,middle,middle,1,buddhist
ch_adults_069_dogs,52,Female,Han,Yes,NA,shanghainese,rural,senior high school,yes,the moderate level,about the same,strongly disagree,none,Han,shanghainese,rural,high school,middle,middle,-2,none
ch_adults_070_flowers,59,Female,the Han nationality,Other,Shanghai,shanghai,urban,high school,yes,not trans,about the same,disagree,mdata,the Han nationality,shanghainese,urban,high school,NA,NA,-1,NA
ch_adults_071_god,87,Female,Han,Other,"Siyang, Jiangsu province",siyang,rural,junior school,yes,average,a little poorer,neither agree nor disagree,none,Han,siyang,rural,less than high school,middle,middle,0,none
ch_adults_072_mice,64,Female,Han,Yes,NA,shanghainese,urban,junior high school,yes,the average level,about the same,neither agree nor disagree,no,Han,shanghainese,urban,less than high school,middle,middle,0,none
ch_adults_073_rocks,26,Female,Han,Other,"MianYang city, Sichuan Province",mandarin,rural,doctor (studying),yes,upper middle class,about the same,neither agree nor disagree,buddhism,Han,mandarin,rural,NA,middle,middle,0,buddhist
ch_adults_074_crickets,67,Female,Han,Other,"China, Inner Mongolia",mandarin chinese,rural,primary school,yes,ordinary,much richer,disagree,none,Han,mandarin,rural,less than high school,middle,middle,-1,none
ch_adults_075_cellphones,71,Female,ethnic Han,Other,China Inner Mongolia,mandarin chinese,rural,primary school,somewhat,ordinary,much poorer,disagree,none,ethnic Han,mandarin,rural,less than high school,middle,middle,-1,none
ch_adults_076_chickens,51,Male,Han,Other,Shanghai,shanghainese,urban,junior college,yes,well-being,about the same,neither agree nor disagree,missing data,Han,shanghainese,urban,other college degree,upper,upper,0,NA
ch_adults_077_children,52,Male,Han,Other,"Chuanshu, Shanghai","chuansha, shanghainese",rural,college,yes,medium class,a little poorer,strongly disagree,missing data,Han,shanghainese,rural,bachelors,middle,middle,-2,NA
ch_adults_078_dogs,49,Male,Han,Other,"Hongkou, Shanghai",shanghainese,urban,college,yes,normal or medium class,about the same,strongly agree,buddhalism,Han,shanghainese,urban,bachelors,middle,middle,2,buddhist
ch_adults_079_flowers,36,Female,Han,Other,Shanghai,shanghainese,urban,junior college,yes,poor,much poorer,disagree,mdata,Han,shanghainese,urban,other college degree,NA,NA,-1,NA
ch_adults_080_ghosts,50,Male,Han,Yes,NA,jinshan,rural,middle school,yes,"rich, high class",about the same,agree,buddhalism,Han,jinshan,rural,less than high school,upper,upper,1,buddhist
ch_adults_081_mice,72,Female,Han,Yes,NA,jinshan,rural,primary school,yes,medium class,a little richer,agree,none,Han,jinshan,rural,less than high school,middle,middle,1,none
ch_adults_082_rocks,72,Male,Han,Yes,NA,jinshan,rural,primary school,yes,medium class,a little poorer,agree,buddhism,Han,jinshan,rural,less than high school,middle,middle,1,buddhist
ch_adults_083_crickets,62,Male,Han,Yes,NA,cantonese,urban,technical secondary school graduated,yes,on average,about the same,agree,no,Han,cantonese,urban,trade/certificate,middle,middle,1,none
ch_adults_084_cellphones,45,Female,Han,Other,"Yangpu District, Shanghai",shanghai,urban,high school graduated,yes,middle class,about the same,agree,christianity,Han,shanghainese,urban,high school,middle,middle,1,christian
ch_adults_085_chickens,49,Male,Han,Other,"Alxa City, The Nei Monggol Autonomous region",mandarin,rural,graduate,yes,average,about the same,neither agree nor disagree,missing data,Han,mandarin,rural,some graduate school,middle,middle,0,NA
ch_adults_086_children,32,Female,the Han nationality,Yes,NA,shanghai,urban,bachelor's degree,yes,common,about the same,strongly disagree,mdata,the Han nationality,shanghainese,urban,bachelors,middle,middle,-2,NA
