subj_id,age,gender,ethnicity,born_us,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
us_adults_099_cellphones,44,F,caucasian,yes,english,rural,bachelors,yes,upper middle,about the same,strongly agree,catholic,white,rural,bachelors,upper middle,upper,2,christian
us_adults_100_chickens,53,M,italian,yes,english,urban,associates,yes,middle,a little richer,agree,christianity,white,urban,associates,middle,middle,1,christian
us_adults_101_chickens,29,M,caucasian,yes,english,rural,associates,yes,middle,a little poorer,agree,no,white,rural,associates,middle,middle,1,none
us_adults_102_dogs,24,M,french,no,"french, english",rural,bachelors,yes,middle,about the same,neither agree nor disagree,no,white,rural,bachelors,middle,middle,0,none
us_adults_103_flowers,52,M,caucasian,yes,english,urban,high school,no,upper middle,a little poorer,agree,no,white,urban,high school,upper middle,upper,1,none
us_adults_104_ghosts,47,F,caucasian,yes,english,urban,some college,no,upper,a little poorer,strongly agree,christianity,white,urban,some college,upper,upper,2,christian
us_adults_105_god,36,M,caucasian,yes,english,rural,bachelors,yes,upper,a little poorer,strongly agree,catholic,white,rural,bachelors,upper,upper,2,christian
us_adults_106_mice,36,F,mixed,no,"spanish, baik, english",urban,masters,yes,middle,about the same,agree,no,multiple,urban,masters,middle,middle,1,none
us_adults_107_rocks,41,M,pacific islander,no,"english, tagalog",urban,high school,yes,upper middle,a little poorer,agree,jehova witness,pacific islander,urban,high school,upper middle,upper,1,christian
us_adults_108_cellphones,NA,M,missing data,missing data,missing data,missing data,missing data,NA,missing data,NA,NA,missing data,NA,NA,NA,NA,NA,NA,NA
us_adults_109_chickens,30,M,missing data,yes,english,rural,associates,yes,missing data,NA,NA,missing data,NA,rural,associates,NA,NA,NA,NA
us_adults_110_children,NA,F,missing data,missing data,missing data,missing data,missing data,NA,missing data,NA,NA,missing data,NA,NA,NA,NA,NA,NA,NA
us_adults_111_dogs,NA,F,missing data,no,"tagalog, english",missing data,missing data,NA,missing data,NA,NA,missing data,NA,NA,NA,NA,NA,NA,NA
us_adults_112_flowers,33,M,persian,no,"farsi, english, turkish",urban,bachelors,yes,middle,about the same,disagree,missing data,middle eastern,urban,bachelors,middle,middle,-1,NA
us_adults_113_ghosts,23,F,"NA",no,"swedish, english",rural,some college,yes,upper middle,about the same,neither agree nor disagree,missing data,NA,rural,some college,upper middle,upper,0,NA
us_adults_114_god,48,M,caucasian,yes,english,urban,masters,yes,middle,a little richer,agree,buddhism,white,urban,masters,middle,middle,1,buddhist
us_adults_115_mice,NA,M,"NA",yes,english,suburban,graduate school,yes,upper,about the same,NA,na,NA,suburban,some graduate school,upper,upper,NA,na
us_adults_116_rocks,61,M,pakistan,no,"english, pakistan",rural,bachelors,yes,upper,about the same,agree,no,south asian,rural,bachelors,upper,upper,1,none
us_adults_117_beetles,23,F,caucasian,yes,english,urban,bachelors,yes,upper,a little poorer,disagree,no,white,urban,bachelors,upper,upper,-1,none
us_adults_118_chickens,62,M,caucasian,yes,english,Curtone base,some college,yes,middle,about the same,agree,baptist,white,NA,some college,middle,middle,1,christian
us_adults_119_children,20,M,indian,yes,"english, hindi",urban,high school,yes,middle,a little poorer,neither agree nor disagree,no,south asian,urban,high school,middle,middle,0,none
us_adults_120_dogs,29,M,south asian,no,"english, telequ",urban,bachelors,yes,middle,about the same,neither agree nor disagree,no,south asian,urban,bachelors,middle,middle,0,none
us_adults_121_flowers,22,M,latino,yes,"english, spanish",urban,high school,yes,mixed,about the same,neither agree nor disagree,no,hispanic/latino,urban,high school,NA,NA,0,none
us_adults_122_ghosts,32,M,indian,no,"english, hindi",urban,bachelors,yes,middle,about the same,strongly agree,jainism,south asian,urban,bachelors,middle,middle,2,jain
us_adults_123_god,25,M,asian,no,"chinese, english",rural,masters,yes,upper,about the same,strongly agree,buddhism,east asian,rural,masters,upper,upper,2,buddhist
us_adults_124_mice,18,F,hispanic,yes,"english, spanish",urban,high school,yes,middle,about the same,neither agree nor disagree,no,hispanic/latino,urban,high school,middle,middle,0,none
us_adults_125_rocks,21,M,"half black, latino",yes,english,urban,high school,yes,middle,a little poorer,strongly agree,no,multiple,urban,high school,middle,middle,2,none
us_adults_126_beetles,21,M,latino,yes,english,urban,high school,yes,middle,about the same,agree,buddhism,hispanic/latino,urban,high school,middle,middle,1,buddhist
us_adults_127_cellphones,43,F,"black, white",yes,english,urban,bachelors,yes,upper middle,a little richer,disagree,no,multiple,urban,bachelors,upper middle,upper,-1,none
