subj_id,age,gender,live_here,from_where,sibling_number,sibling_order,language,language_home,language_school,school,church,religion,religion_cat,church_cat
gh_children_095_dogs,9,M,Cape Coast,Kumasi,1,1,"English, Fante, Twi",English,English,Calvary Hillcrest,Jehovah Witness,christian,christian,Jehovah Witness
gh_children_096_flowers,8,M,Elmina,Kumasi,4,5,"English, Fante",Fante,English,Calvary Hillcrest,Glorious Gospel Ministry,christian,christian,Glorious Gospel Ministry
gh_children_097_god,7,M,Cape Coast,Kumasi,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Anglican,christian,christian,Anglican
gh_children_098_rocks,9,F,Cape Coast,Germany,0,1,"English, Fante",Fante,English,Calvary Hillcrest,University Interdenominational Church (U.I.C),christian,christian,University Interdenominational Church (U.I.C)
gh_children_099_god,9,F,Cape Coast,Cape Coast,2,2,English,English,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_100_beetles,9,F,Elmina,Upper West Region,0,1,"English, Dagati",Dagati,English,Calvary Hillcrest,Saint Francis of Asissi,christian,christian,Saint Francis of Asissi
gh_children_101_beetles,10,F,Elmina,Central Region,2,1,"English, Fante, Twi",Fante,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_102_mice,9,F,Cape Coast,Volta Region,4,3,"English, Fante, Ewe","English, Fante",English,Calvary Hillcrest,Harvest Chapel,christian,christian,Harvest Chapel
gh_children_103_beetles,7,F,Cape Coast,Cape Coast,2,3,"English, Fante",Fante,English,Calvary Hillcrest,Assemblies of God,christian,christian,Assemblies of God
gh_children_104_god,8,M,Cape Coast,Swedru,4,Don't know,"English, Nzema",Nzema,English,Calvary Hillcrest,Roman Catholic,christian,christian,Roman Catholic
gh_children_105_dogs,9,F,Cape Coast,Cape Coast,3,3,"English, Fante",Fante,English,Calvary Hillcrest,Roman Catholic,christian,christian,Roman Catholic
gh_children_106_dogs,8,M,Cape Coast,Cape Coast,3,1,"English, Fante",English,"English, Fante",Calvary Hillcrest,Saint Augustine's Anglican Church,christian,christian,Saint Augustine's Anglican Church
gh_children_107_cellphones,9,M,Cape Coast,Cape Coast,1,1,"English, Fante","English, Fante",English,Calvary Hillcrest,Ioe Temple,christian,christian,Ioe Temple
gh_children_108_ghosts,9,F,Cape Coast,Kumasi,2,2,"English, Twi",Twi,English,Calvary Hillcrest,Seventh Day Adventist,christian,christian,Seventh Day Adventist
gh_children_109_mice,7,F,Cape Coast,Cape Coast,1,1,English,English,English,Calvary Hillcrest,Holy Christ Center,christian,christian,Holy Christ Center
gh_children_110_god,8,F,Elmina,Abakwampa,3,3,"English, Fante","English, Fante",English,Calvary Hillcrest,"ICGC (International Central Gospel Church), doesn't go lately",christian,christian,ICGC
gh_children_111_cellphones,9,F,Atabadze,Nigeria,4,5,"English, Fante",Fante,English,Calvary Hillcrest,Christ Embassy,christian,christian,Christ Embassy
gh_children_112_mice,9,M,Elmina,Nungua,4,1,"English, Fante, Ga",Ga,English,Calvary Hillcrest,Pentecost,christian,christian,Pentecost
gh_children_113_chickens,6,M,Cape Coast,Cape Coast,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Ioe Temple,christian,christian,Ioe Temple
gh_children_114_mice,8,F,Cape Coast,Cape Coast,2,1,"English, Fante",Fante,English,Calvary Hillcrest,ICGC (International Central Gospel Church),christian,christian,ICGC
gh_children_115_cellphones,8,F,Cape Coast,Accra,1,1,"English, Ga",English,English,Calvary Hillcrest,Breakthrough Assemblies of God,christian,christian,Breakthrough Assemblies of God
gh_children_116_children,7,F,Cape Coast,Volta Region,2,2,"English, Ewe",English,English,Calvary Hillcrest,International Central Gospel (Grace temple),christian,christian,International Central Gospel (Grace temple)
gh_children_117_rocks,8,F,Cape Coast,Cape Coast,5,1,English,English,English,Calvary Hillcrest,Wesley Methodist,christian,christian,Wesley Methodist
gh_children_118_rocks,9,F,Cape Coast,Accra,2,1,"English, Fante",Fante,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_119_god,10,F,Cape Coast,Cape Coast,7,5,"English, Fante",Fante,English,Calvary Hillcrest,The Light of Egypt,christian,christian,The Light of Egypt
gh_children_120_god,9,M,Elmina,Elmina,3,1,"English, Fante",Fante,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_121_mice,6,M,Cape Coast,Cape Coast,3,3,English,English,English,Calvary Hillcrest,Church of Pentecost,christian,christian,Church of Pentecost
gh_children_122_flowers,7,F,Cape Coast,Saltpond,2,3,"English, Fante",Fante,English,Calvary Hillcrest,Roman Catholic,christian,christian,Roman Catholic
gh_children_123_flowers,7,M,Cape Coast,Ezaiama (Western Region),7,3,"English, Fante, Nzema","Nzema, Fante",English,Calvary Hillcrest,Harvest Chapel International,christian,christian,Harvest Chapel International
gh_children_124_mice,8,F,Cape Coast,Cape Coast,3,4,"English, Fante, Ewe","Fante, Ewe","Fante, Ewe",Calvary Hillcrest,Praise Baptist Church,christian,christian,Praise Baptist Church
gh_children_125_chickens,8,F,Cape Coast,Kumasi,2,1,"English, Fante, Twi","English, Fante",English,Calvary Hillcrest,Assemblies of God,christian,christian,Assemblies of God
gh_children_126_beetles,9,M,Cape Coast,Cape Coast,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Seventh Day Adventist,christian,christian,Seventh Day Adventist
gh_children_127_god,9,M,Cape Coast,Offinso,2,2,"English, Twi",Twi,English,Calvary Hillcrest,Victory Celebration,christian,christian,Victory Celebration
