subj_id,age,gender,language,religion,religion_cat
vt_adults_098_cellphones,42,F,Bislama,presbyterian,presbyterian
vt_adults_099_ghosts,45,F,"Bislama, Espigles Bay language",sda,sda
vt_adults_100_dogs,44,F,"Bislama, Clear River language",sda,sda
vt_adults_101_chickens,24,F,Bislama,presbyterian,presbyterian
vt_adults_102_cellphones,43,F,Bislama,pentecostal,pentecostal
vt_adults_103_chickens,39,F,"Bislama, Big Nambas language",sda,sda
vt_adults_104_mice,NA,F,Tanna language,sunday keeping religion,sunday keeping religion
vt_adults_105_rocks,56,F,Ambae language,"church of christ, sda","church of christ, sda"
vt_adults_106_beetles,23,F,Bislama,ntm,ntm
vt_adults_107_beetles,26,F,Bislama,sda,sda
vt_adults_108_flowers,NA,F,Bislama,sda,sda
vt_adults_109_ghosts,NA,F,"Bislama, Espigles Bay language",sda,sda
vt_adults_110_dogs,34,F,Bislama,sda,sda
vt_adults_111_chickens,43,M,"Bislama, Tanna, Aniwa language",glorious church,glorious church
vt_adults_112_cellphones,32,F,Bislama,sda,sda
vt_adults_113_god,32,F,Bislama,sda,sda
vt_adults_114_flowers,30,F,"Bislama, Paama language",sda,sda
vt_adults_115_beetles,38,F,Bislama,reformed sda,reformed sda
vt_adults_116_flowers,26,M,Bislama,mormon,mormon
vt_adults_117_dogs,30,F,"Bislama, North Ambae language",anglican,anglican
vt_adults_118_flowers,42,M,"Bislama, Paama language",presbyterian,presbyterian
vt_adults_119_beetles,35,F,Bislama,sda,sda
vt_adults_120_ghosts,60,F,Bislama,sda,sda
vt_adults_121_pigs,27,F,Bislama,sda,sda
vt_adults_122_flowers,48,M,Bislama,aog assemblies of god,aog assemblies of god
vt_adults_123_beetles,24,F,"Bislama, Malekula language",presbyterian,presbyterian
vt_adults_124_dogs,17,F,"Bislama, Espigles Bay language",sda,sda
vt_adults_125_ghosts,24,M,Bislama,presbyterian,presbyterian
vt_adults_126_children,16,F,Bislama,none,none
vt_adults_127_cellphones,41,M,Bislama,sda,sda
vt_adults_128_chickens,18,M,"Bislama, Espigles Bay language",sda,sda
vt_adults_129_flowers,33,F,"Clear River, Espigles Bay language",sda,sda
vt_adults_130_ghosts,19,M,Malo language,assemblies of god,assemblies of god
vt_adults_131_mice,29,F,Bislama,missing data,NA
vt_adults_132_cellphones,27,M,"Bislama, Clear River, Espigles Bay language",sda,sda
vt_adults_133_pigs,42,F,Bislama,sda,sda
vt_adults_134_dogs,33,F,Bislama,sda,sda
vt_adults_135_children,26,F,"Bislama, Paama language",sda,sda
vt_adults_136_dogs,64,F,Bislama,sda,sda
vt_adults_137_rocks,19,M,Bislama,sda,sda
vt_adults_138_rocks,19,F,Bislama,sda,sda
vt_adults_139_children,56,F,Bislama,sda,sda
vt_adults_140_children,26,F,Bislama,presbyterian,presbyterian
vt_adults_141_beetles,32,F,Bislama,glorious church,glorious church
vt_adults_142_ghosts,23,F,Tanna language,any religion,multiple
vt_adults_143_ghosts,22,F,"Bislama, Pentecost language",sda,sda
vt_adults_144_god,35,F,Bislama,sda,sda
vt_adults_145_god,19,F,Tanna language,missing data,NA
vt_adults_146_rocks,28,F,"Bislama, Aniwa language",glorious church,glorious church
vt_adults_147_children,17,F,Bislama. Paama language,sda,sda
vt_adults_148_cellphones,39,F,"Bislama, Tanna, Aniwa language",glorious church,glorious church
vt_adults_149_flowers,22,F,Bislama,church of christ,church of christ
vt_adults_150_cellphones,19,F,Bislama,sda,sda
vt_adults_151_chickens,17,F,"Bislama, Pentecost language",anglican,anglican
vt_adults_152_pigs,42,F,Tanna language,sda,sda
vt_adults_153_flowers,16,F,Tanna language,catholic,catholic
vt_adults_154_pigs,43,F,"Bislama, Espigles Bay language",sda,sda
vt_adults_155_beetles,46,M,Tanna language,presbyterian,presbyterian
vt_adults_156_mice,33,M,Bislama,sda,sda
vt_adults_157_god,22,F,Bislama,sda,sda
vt_adults_158_beetles,19,M,Tanna language,ntm,ntm
vt_adults_159_ghosts,19,F,Bislama,sda,sda
vt_adults_160_flowers,23,F,Bislama,sda,sda
vt_adults_161_children,20,F,Espigles Bay language,sda,sda
vt_adults_162_cellphones,31,F,Bislama,sda,sda
vt_adults_163_rocks,40,M,"Bislama, Tongoa, Nguna language",bible church,bible church
vt_adults_164_pigs,25,M,"Bislama, Mosso language",presbyterian,presbyterian
